transaction_id,customer_id,timestamp,amount,currency,merchant_mcc,merchant_category,swift_bank,card_type,entry_mode,channel,location_country,continent,location_city,distance_from_home_km,device_id,ip_address,velocity_1h,velocity_24h,is_fraud_actual
TXN_0014871,CUST_00837,2026-05-08 05:47:12,141.68,JPY,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,DEUTDEFF (Deutsche Bank AG),Corporate Platinum,ISO 8583 API,Mobile Banking App,IL,Middle East & Africa,IL_Metro_5,2.5,DEV_0747,145.21.43.21,3,2,0
TXN_0001378,CUST_00755,2026-05-08 05:47:37,51.18,CAD,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,DEUTDEFF (Deutsche Bank AG),Mastercard World Elite,ISO 8583 API,ATM Network,NG,Middle East & Africa,NG_Metro_5,24.6,DEV_0773,27.24.198.85,2,1,0
TXN_0012124,CUST_00736,2026-05-08 05:48:24,17.94,SGD,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Corporate Platinum,EMV Contactless,Mobile Banking App,FR,Europe,FR_Metro_4,17.4,DEV_1351,10.200.163.155,1,1,0
TXN_0011753,CUST_00995,2026-05-08 06:29:59,44.5,JPY,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,BARCGB22 (Barclays Bank PLC),Amex Centurion,ISO 8583 API,ATM Network,IT,Europe,IT_Metro_3,39.4,DEV_0612,73.164.19.47,1,3,0
TXN_0009803,CUST_00004,2026-05-08 06:40:12,158.19,AED,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,BARCGB22 (Barclays Bank PLC),Debit Classic,Chip & PIN,POS Terminal,UK,Europe,UK_Metro_3,14.4,DEV_1411,96.0.202.36,1,4,0
TXN_0003930,CUST_00010,2026-05-08 06:43:04,170.51,EUR,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,"BOFAUS3N (Bank of America, N.A.)",Mastercard World Elite,Chip & PIN,Web Gateway,CO,Latin America,CO_Metro_4,25.8,DEV_0987,143.193.51.158,2,7,0
TXN_0008646,CUST_00965,2026-05-08 07:32:37,112.85,EUR,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"CITIUS33 (Citibank, N.A.)",Mastercard World Elite,Chip & PIN,SWIFT Network,CH,Europe,CH_Metro_3,3.7,DEV_0487,10.88.193.30,1,5,0
TXN_0005371,CUST_00758,2026-05-08 07:37:44,40.44,EUR,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,DEUTDEFF (Deutsche Bank AG),Visa Infinite,EMV Contactless,SWIFT Network,CL,Latin America,CL_Metro_3,2.7,DEV_0073,41.123.194.22,2,5,0
TXN_0002948,CUST_00486,2026-05-08 07:54:56,43.18,CNY,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"MUFGJPJT (MUFG Bank, Ltd.)",Amex Centurion,ISO 8583 API,SWIFT Network,FR,Europe,FR_Metro_3,10.2,DEV_0177,136.70.18.176,1,8,0
TXN_0002032,CUST_00328,2026-05-08 07:54:59,520.68,CNY,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,BNPAFRPP (BNP Paribas S.A.),Corporate Platinum,Online (CNP),Mobile Banking App,NG,Middle East & Africa,NG_Metro_4,3972.4,DEV_0894,125.251.25.188,7,12,1
TXN_0012576,CUST_00964,2026-05-08 07:55:11,112.56,AED,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,BNPAFRPP (BNP Paribas S.A.),Visa Infinite,Contactless 3DS,ATM Network,DE,Europe,DE_Metro_2,2.6,DEV_0773,175.178.14.193,3,5,0
TXN_0012070,CUST_00317,2026-05-08 08:02:13,42.91,USD,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,BNPAFRPP (BNP Paribas S.A.),Visa Infinite,Online (CNP),Web Gateway,DE,Europe,DE_Metro_2,3.5,DEV_0947,83.135.47.8,3,2,0
TXN_0006830,CUST_00740,2026-05-08 08:14:51,41.71,JPY,MCC 5944: Luxury Jewelry & Watch Merchants,Jewelry & Luxury,"MUFGJPJT (MUFG Bank, Ltd.)",Mastercard World Elite,Contactless 3DS,Web Gateway,CN,Asia-Pacific,CN_Metro_2,8.2,DEV_1120,200.130.90.6,3,8,0
TXN_0011950,CUST_00390,2026-05-08 08:17:39,64.13,GBP,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,DEUTDEFF (Deutsche Bank AG),Corporate Platinum,Chip & PIN,POS Terminal,CN,Asia-Pacific,CN_Metro_4,10.7,DEV_0611,99.123.172.139,1,7,0
TXN_0012999,CUST_00550,2026-05-08 08:25:20,25.92,EUR,MCC 5944: Luxury Jewelry & Watch Merchants,Jewelry & Luxury,DEUTDEFF (Deutsche Bank AG),Corporate Platinum,Online (CNP),Mobile Banking App,CO,Latin America,CO_Metro_4,12.1,DEV_0444,76.171.41.217,3,8,0
TXN_0014684,CUST_00704,2026-05-08 08:32:31,17.22,GBP,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Corporate Platinum,EMV Contactless,Web Gateway,CO,Latin America,CO_Metro_1,42.8,DEV_1328,82.237.99.144,3,2,0
TXN_0003202,CUST_00488,2026-05-08 08:43:08,151.68,AUD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Mastercard World Elite,Online (CNP),Mobile Banking App,UK,Europe,UK_Metro_1,56.2,DEV_0835,148.248.241.91,1,5,0
TXN_0011295,CUST_00419,2026-05-08 08:44:54,415.8,USD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"BOFAUS3N (Bank of America, N.A.)",Visa Infinite,Contactless 3DS,Web Gateway,NL,Europe,NL_Metro_4,5.2,DEV_0235,47.167.227.34,2,7,0
TXN_0000438,CUST_00465,2026-05-08 08:51:10,217.51,CHF,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,HSBCUK21 (HSBC Bank plc),Corporate Platinum,Chip & PIN,Web Gateway,CO,Latin America,CO_Metro_5,14.2,DEV_0741,142.22.114.13,2,8,0
TXN_0004207,CUST_00109,2026-05-08 08:51:55,10.64,CHF,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,"MUFGJPJT (MUFG Bank, Ltd.)",Visa Infinite,Contactless 3DS,POS Terminal,ZA,Middle East & Africa,ZA_Metro_3,13.8,DEV_0065,177.234.96.72,1,1,0
TXN_0013297,CUST_00127,2026-05-08 09:09:47,46.15,CAD,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,"BOFAUS3N (Bank of America, N.A.)",Visa Infinite,EMV Contactless,SWIFT Network,ZA,Middle East & Africa,ZA_Metro_5,2.3,DEV_1303,96.65.183.197,1,2,0
TXN_0014974,CUST_00528,2026-05-08 09:14:11,200.01,AED,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,HSBCUK21 (HSBC Bank plc),Amex Centurion,Chip & PIN,Mobile Banking App,MX,North America,MX_Metro_3,1.6,DEV_1097,64.36.214.129,3,7,0
TXN_0009137,CUST_00167,2026-05-08 09:22:57,108.49,SGD,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,HSBCUK21 (HSBC Bank plc),Mastercard World Elite,ISO 8583 API,ATM Network,IL,Middle East & Africa,IL_Metro_5,41.0,DEV_0596,40.44.108.64,3,1,0
TXN_0002664,CUST_00642,2026-05-08 09:54:16,250.35,CHF,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,BNPAFRPP (BNP Paribas S.A.),Corporate Platinum,EMV Contactless,Web Gateway,AR,Latin America,AR_Metro_3,0.4,DEV_1040,95.193.21.67,1,2,0
TXN_0011211,CUST_00147,2026-05-08 10:22:57,102.82,CAD,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,BARCGB22 (Barclays Bank PLC),Corporate Platinum,EMV Contactless,Web Gateway,IT,Europe,IT_Metro_5,26.1,DEV_1373,26.172.69.65,1,5,0
TXN_0006368,CUST_00105,2026-05-08 10:37:02,73.93,GBP,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"MUFGJPJT (MUFG Bank, Ltd.)",Visa Infinite,Contactless 3DS,Web Gateway,SG,Asia-Pacific,SG_Metro_5,20.9,DEV_1271,35.133.233.56,2,6,0
TXN_0012116,CUST_00002,2026-05-08 10:41:21,27.43,SGD,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,"BOFAUS3N (Bank of America, N.A.)",Amex Centurion,ISO 8583 API,ATM Network,EG,Middle East & Africa,EG_Metro_5,4.6,DEV_0070,107.205.139.130,3,5,0
TXN_0001305,CUST_00282,2026-05-08 10:49:01,110.66,SGD,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,BNPAFRPP (BNP Paribas S.A.),Mastercard World Elite,Chip & PIN,Web Gateway,JP,Asia-Pacific,JP_Metro_1,66.9,DEV_0723,75.166.54.40,2,7,0
TXN_0008383,CUST_00594,2026-05-08 11:02:50,22.93,JPY,MCC 5944: Luxury Jewelry & Watch Merchants,Jewelry & Luxury,BNPAFRPP (BNP Paribas S.A.),Visa Infinite,Contactless 3DS,SWIFT Network,BR,Latin America,BR_Metro_4,0.5,DEV_0241,27.173.80.215,1,6,0
TXN_0010411,CUST_00886,2026-05-08 11:03:34,160.82,CNY,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"CITIUS33 (Citibank, N.A.)",Corporate Platinum,Online (CNP),Web Gateway,EG,Middle East & Africa,EG_Metro_3,49.9,DEV_0916,124.213.199.178,2,6,0
TXN_0010703,CUST_00921,2026-05-08 11:26:30,113.97,CHF,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,BNPAFRPP (BNP Paribas S.A.),Visa Infinite,Chip & PIN,POS Terminal,IL,Middle East & Africa,IL_Metro_2,31.8,DEV_0391,218.19.85.251,2,5,0
TXN_0011704,CUST_00043,2026-05-08 11:26:47,84.3,AUD,MCC 6012: Financial Institutions & Banking,Commercial Banking,"BOFAUS3N (Bank of America, N.A.)",Debit Classic,Online (CNP),POS Terminal,KR,Asia-Pacific,KR_Metro_2,22.7,DEV_0859,119.160.95.62,1,8,0
TXN_0011345,CUST_00841,2026-05-08 11:33:58,32.66,AUD,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"CITIUS33 (Citibank, N.A.)",Visa Infinite,EMV Contactless,POS Terminal,NG,Middle East & Africa,NG_Metro_4,23.4,DEV_0526,145.126.81.33,1,3,0
TXN_0004284,CUST_00413,2026-05-08 11:47:54,48.35,SGD,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,DEUTDEFF (Deutsche Bank AG),Corporate Platinum,ISO 8583 API,POS Terminal,AR,Latin America,AR_Metro_2,24.5,DEV_0397,60.68.66.8,1,8,0
TXN_0007259,CUST_00710,2026-05-08 12:04:54,169.46,EUR,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"CITIUS33 (Citibank, N.A.)",Corporate Platinum,Online (CNP),Web Gateway,ES,Europe,ES_Metro_1,16.2,DEV_0648,39.72.44.137,2,8,0
TXN_0002565,CUST_00533,2026-05-08 12:11:20,109.75,AUD,MCC 6012: Financial Institutions & Banking,Commercial Banking,"MUFGJPJT (MUFG Bank, Ltd.)",Mastercard World Elite,EMV Contactless,Web Gateway,EG,Middle East & Africa,EG_Metro_3,22.1,DEV_1215,143.169.79.113,3,1,0
TXN_0012870,CUST_00164,2026-05-08 12:12:34,265.37,CNY,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"MUFGJPJT (MUFG Bank, Ltd.)",Corporate Platinum,Online (CNP),ATM Network,CH,Europe,CH_Metro_1,86.0,DEV_0196,25.136.62.75,1,4,0
TXN_0002385,CUST_00074,2026-05-08 12:13:27,525.97,SGD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,HSBCUK21 (HSBC Bank plc),Amex Centurion,Contactless 3DS,POS Terminal,CO,Latin America,CO_Metro_3,15.9,DEV_0240,176.75.114.74,2,6,0
TXN_0003655,CUST_00011,2026-05-08 12:25:47,55.99,CNY,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,HSBCUK21 (HSBC Bank plc),Debit Classic,Chip & PIN,Mobile Banking App,SG,Asia-Pacific,SG_Metro_3,2.3,DEV_0440,126.106.85.232,1,8,0
TXN_0013747,CUST_00134,2026-05-08 12:33:59,207.86,USD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Debit Classic,ISO 8583 API,ATM Network,NG,Middle East & Africa,NG_Metro_5,11.1,DEV_1484,44.27.195.63,3,2,0
TXN_0007034,CUST_00289,2026-05-08 12:44:01,34.76,AED,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,DEUTDEFF (Deutsche Bank AG),Mastercard World Elite,Contactless 3DS,Web Gateway,IT,Europe,IT_Metro_5,5.5,DEV_0275,184.46.224.95,1,4,0
TXN_0007978,CUST_00884,2026-05-08 13:06:51,101.91,CAD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Amex Centurion,ISO 8583 API,Mobile Banking App,CH,Europe,CH_Metro_4,32.5,DEV_0525,34.41.226.133,3,8,0
TXN_0012860,CUST_00749,2026-05-08 13:14:20,50.73,CHF,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,BARCGB22 (Barclays Bank PLC),Amex Centurion,Online (CNP),POS Terminal,KR,Asia-Pacific,KR_Metro_3,0.7,DEV_0840,81.228.203.89,1,1,0
TXN_0009853,CUST_00173,2026-05-08 13:15:31,107.74,SGD,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"MUFGJPJT (MUFG Bank, Ltd.)",Debit Classic,ISO 8583 API,SWIFT Network,CA,North America,CA_Metro_1,4.8,DEV_0992,81.104.129.115,2,8,0
TXN_0003055,CUST_00466,2026-05-08 13:26:02,125.04,EUR,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"MUFGJPJT (MUFG Bank, Ltd.)",Visa Infinite,EMV Contactless,Mobile Banking App,CH,Europe,CH_Metro_5,15.4,DEV_1200,106.122.131.52,3,6,0
TXN_0003925,CUST_00978,2026-05-08 13:34:17,232.77,CHF,MCC 6012: Financial Institutions & Banking,Commercial Banking,"MUFGJPJT (MUFG Bank, Ltd.)",Corporate Platinum,Chip & PIN,Web Gateway,NL,Europe,NL_Metro_5,6.1,DEV_0811,211.85.178.213,2,1,0
TXN_0008283,CUST_00211,2026-05-08 13:34:28,14.85,JPY,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,HSBCUK21 (HSBC Bank plc),Mastercard World Elite,ISO 8583 API,SWIFT Network,SE,Europe,SE_Metro_2,54.6,DEV_0203,49.158.45.25,3,4,0
TXN_0009481,CUST_00444,2026-05-08 13:40:39,232.16,AUD,MCC 6012: Financial Institutions & Banking,Commercial Banking,BARCGB22 (Barclays Bank PLC),Amex Centurion,Chip & PIN,ATM Network,EG,Middle East & Africa,EG_Metro_1,28.5,DEV_0333,148.183.42.113,3,6,0
TXN_0014745,CUST_00308,2026-05-08 13:42:30,53.15,CHF,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Debit Classic,Contactless 3DS,ATM Network,NL,Europe,NL_Metro_2,0.5,DEV_0145,167.198.118.227,2,4,0
TXN_0007021,CUST_00565,2026-05-08 13:44:59,118.79,GBP,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,DEUTDEFF (Deutsche Bank AG),Amex Centurion,Online (CNP),POS Terminal,IT,Europe,IT_Metro_2,13.5,DEV_0339,209.148.224.231,2,5,0
TXN_0002052,CUST_00327,2026-05-08 13:54:38,59.55,USD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Amex Centurion,Online (CNP),Mobile Banking App,SG,Asia-Pacific,SG_Metro_2,2.5,DEV_1048,68.68.57.237,3,7,0
TXN_0010385,CUST_00389,2026-05-08 14:02:17,67.82,AUD,MCC 6012: Financial Institutions & Banking,Commercial Banking,"MUFGJPJT (MUFG Bank, Ltd.)",Amex Centurion,Chip & PIN,ATM Network,SE,Europe,SE_Metro_5,19.5,DEV_0002,41.205.234.240,1,6,0
TXN_0008979,CUST_00055,2026-05-08 14:05:19,196.32,AED,MCC 6012: Financial Institutions & Banking,Commercial Banking,BNPAFRPP (BNP Paribas S.A.),Mastercard World Elite,ISO 8583 API,Web Gateway,SE,Europe,SE_Metro_5,4352.5,DEV_0664,74.230.51.55,4,24,1
TXN_0014781,CUST_00407,2026-05-08 14:10:09,60.3,AED,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Mastercard World Elite,Online (CNP),SWIFT Network,UK,Europe,UK_Metro_4,40.0,DEV_1147,205.43.22.48,3,4,0
TXN_0001790,CUST_00411,2026-05-08 14:10:59,34.15,USD,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Mastercard World Elite,ISO 8583 API,POS Terminal,NG,Middle East & Africa,NG_Metro_4,6.1,DEV_0217,17.35.94.220,1,1,0
TXN_0000134,CUST_00094,2026-05-08 14:31:13,56.39,GBP,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"CITIUS33 (Citibank, N.A.)",Visa Infinite,Contactless 3DS,SWIFT Network,IN,Asia-Pacific,IN_Metro_5,0.8,DEV_0212,16.45.181.142,3,7,0
TXN_0011914,CUST_00903,2026-05-08 14:39:24,75.89,AUD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,DEUTDEFF (Deutsche Bank AG),Debit Classic,ISO 8583 API,POS Terminal,CO,Latin America,CO_Metro_3,29.0,DEV_1245,96.194.169.252,3,8,0
TXN_0014865,CUST_00771,2026-05-08 15:09:48,127.01,EUR,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,"BOFAUS3N (Bank of America, N.A.)",Visa Infinite,Chip & PIN,ATM Network,ES,Europe,ES_Metro_2,3.0,DEV_0957,71.77.89.107,1,1,0
TXN_0000973,CUST_00129,2026-05-08 15:29:26,139.05,SGD,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,DEUTDEFF (Deutsche Bank AG),Corporate Platinum,ISO 8583 API,ATM Network,ES,Europe,ES_Metro_5,6.6,DEV_0282,76.202.245.39,1,7,0
TXN_0002650,CUST_00992,2026-05-08 15:31:12,124.06,AED,MCC 6012: Financial Institutions & Banking,Commercial Banking,BNPAFRPP (BNP Paribas S.A.),Mastercard World Elite,Online (CNP),Mobile Banking App,UK,Europe,UK_Metro_4,3.8,DEV_0500,151.100.98.103,2,6,0
TXN_0010335,CUST_00369,2026-05-08 15:45:17,228.4,SGD,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,BARCGB22 (Barclays Bank PLC),Amex Centurion,Chip & PIN,SWIFT Network,ES,Europe,ES_Metro_2,3.5,DEV_0824,57.191.219.222,1,8,0
TXN_0011716,CUST_00473,2026-05-08 15:45:40,144.77,AUD,MCC 5944: Luxury Jewelry & Watch Merchants,Jewelry & Luxury,BARCGB22 (Barclays Bank PLC),Mastercard World Elite,Online (CNP),Mobile Banking App,MX,North America,MX_Metro_2,2.2,DEV_1012,41.154.225.111,3,2,0
TXN_0004918,CUST_00287,2026-05-08 15:48:38,125.86,GBP,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,BNPAFRPP (BNP Paribas S.A.),Visa Infinite,ISO 8583 API,Mobile Banking App,FR,Europe,FR_Metro_4,99.9,DEV_0742,152.172.183.39,2,2,0
TXN_0001440,CUST_00483,2026-05-08 16:25:24,112.37,CHF,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"BOFAUS3N (Bank of America, N.A.)",Debit Classic,ISO 8583 API,Mobile Banking App,CO,Latin America,CO_Metro_3,1.3,DEV_1493,120.172.16.92,2,4,0
TXN_0008212,CUST_00672,2026-05-08 16:27:55,29.78,EUR,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"BOFAUS3N (Bank of America, N.A.)",Debit Classic,Contactless 3DS,SWIFT Network,SA,Middle East & Africa,SA_Metro_1,28.4,DEV_0006,66.214.104.246,1,7,0
TXN_0002815,CUST_00337,2026-05-08 16:28:04,129.13,CHF,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"BOFAUS3N (Bank of America, N.A.)",Mastercard World Elite,Contactless 3DS,POS Terminal,FR,Europe,FR_Metro_2,23.0,DEV_1289,92.147.226.128,1,8,0
TXN_0011411,CUST_00821,2026-05-08 16:37:43,37.17,GBP,"MCC 7995: Online Betting, Casino & Gaming",Online Gaming & Betting,"CITIUS33 (Citibank, N.A.)",Mastercard World Elite,Contactless 3DS,SWIFT Network,SA,Middle East & Africa,SA_Metro_3,31.3,DEV_1208,133.172.191.235,1,7,0
TXN_0009120,CUST_00787,2026-05-08 16:39:45,134.3,CAD,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,"BOFAUS3N (Bank of America, N.A.)",Debit Classic,Contactless 3DS,ATM Network,NG,Middle East & Africa,NG_Metro_2,14.7,DEV_0938,83.49.7.243,2,6,0
TXN_0007939,CUST_00092,2026-05-08 16:48:08,16.62,JPY,MCC 6051: Virtual Currency & Crypto Exchanges,Crypto & Virtual Assets,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Corporate Platinum,Online (CNP),SWIFT Network,JP,Asia-Pacific,JP_Metro_2,11.5,DEV_0670,144.211.49.106,2,8,0
TXN_0009240,CUST_00906,2026-05-08 16:49:09,497.28,SGD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"CHASUS33 (JPMorgan Chase Bank, N.A.)",Visa Infinite,Online (CNP),Web Gateway,HK,Asia-Pacific,HK_Metro_3,27.8,DEV_1248,173.72.137.160,1,6,0
TXN_0004881,CUST_00686,2026-05-08 17:10:46,121.93,CNY,MCC 4722: Travel Agencies & Airline Ticketing,Travel & Aviation,"BOFAUS3N (Bank of America, N.A.)",Corporate Platinum,ISO 8583 API,Mobile Banking App,ZA,Middle East & Africa,ZA_Metro_3,11.2,DEV_1433,114.214.180.15,1,5,0
TXN_0001218,CUST_00028,2026-05-08 17:21:20,15.94,GBP,MCC 5732: Consumer Electronics & Computing,Electronics & Tech,HSBCUK21 (HSBC Bank plc),Amex Centurion,Online (CNP),Mobile Banking App,FR,Europe,FR_Metro_1,14.1,DEV_1416,68.169.181.3,1,6,0
TXN_0008851,CUST_00152,2026-05-08 17:21:45,14.24,AUD,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,BNPAFRPP (BNP Paribas S.A.),Mastercard World Elite,Chip & PIN,POS Terminal,SA,Middle East & Africa,SA_Metro_2,30.0,DEV_1495,159.3.131.193,1,3,0
TXN_0005384,CUST_00173,2026-05-08 17:30:19,50.95,CHF,MCC 4829: Wire Transfer & Money Orders,Cross-Border Remittance,BARCGB22 (Barclays Bank PLC),Mastercard World Elite,EMV Contactless,Mobile Banking App,BR,Latin America,BR_Metro_5,21.8,DEV_1418,57.150.42.39,1,5,0
TXN_0000296,CUST_00208,2026-05-08 17:32:28,549.77,SGD,MCC 6012: Financial Institutions & Banking,Commercial Banking,"MUFGJPJT (MUFG Bank, Ltd.)",Visa Infinite,ISO 8583 API,SWIFT Network,ES,Europe,ES_Metro_2,94.7,DEV_0930,114.226.40.154,3,8,0
TXN_0013987,CUST_00086,2026-05-08 17:36:41,153.21,USD,MCC 5411: Supermarkets & Wholesale Grocery,Grocery & Supermarkets,"MUFGJPJT (MUFG Bank, Ltd.)",Mastercard World Elite,ISO 8583 API,POS Terminal,CN,Asia-Pacific,CN_Metro_1,4.8,DEV_0153,10.222.70.161,2,2,0
TXN_0008251,CUST_00729,2026-05-08 17:49:25,117.21,JPY,MCC 6012: Financial Institutions & Banking,Commercial Banking,"CITIUS33 (Citibank, N.A.)",Debit Classic,Chip & PIN,POS Terminal,CA,North America,CA_Metro_1,4.7,DEV_0439,29.76.93.76,2,7,0
